Run 87: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 88: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 89: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
----------------87/90----------------

Run 90: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 91: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 92: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 93: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 94: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 95: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 96: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 97: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 98: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 99: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
----------------97/100----------------

Run 100: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 101: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 102: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 103: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 104: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 105: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 106: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 107: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 108: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 109: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
----------------107/110----------------

Run 110: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 111: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 112: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 113: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 114: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 115: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 116: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
