Run 2406: {Accuracy: 0.00, Precision: NaN, Recall: NaN}
Run 2407: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2408: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2409: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
----------------284/410----------------

Run 2410: {Accuracy: 0.00, Precision: NaN, Recall: NaN}
Run 2411: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2412: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2413: {Accuracy: 0.00, Precision: NaN, Recall: NaN}
Run 2414: {Accuracy: 0.00, Precision: NaN, Recall: 0.00}
Run 2415: {Accuracy: 0.00, Precision: NaN, Recall: NaN}
Run 2416: {Accuracy: 0.00, Precision: 0.00, Recall: NaN}
Run 2417: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2418: {Accuracy: 0.00, Precision: NaN, Recall: 0.00}
Run 2419: {Accuracy: 0.00, Precision: NaN, Recall: NaN}
----------------287/420----------------

Run 2420: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2421: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 2422: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 2423: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 2424: {Accuracy: 0.00, Precision: 0.00, Recall: NaN}
Run 2425: {Accuracy: 0.00, Precision: NaN, Recall: NaN}
Run 2426: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2427: {Accuracy: 0.00, Precision: 1.00, Recall: 1.00}
Run 2428: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2429: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
----------------294/430----------------

Run 2430: {Accuracy: 0.00, Precision: NaN, Recall: NaN}
Run 2431: {Accuracy: 0.00, Precision: NaN, Recall: NaN}
Run 2432: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2433: {Accuracy: 0.00, Precision: NaN, Recall: NaN}
Run 2434: {Accuracy: 0.00, Precision: NaN, Recall: NaN}
Run 2435: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2436: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 2437: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 2438: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2439: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
----------------300/440----------------

Run 2440: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2441: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 2442: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2443: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2444: {Accuracy: 0.00, Precision: NaN, Recall: NaN}
Run 2445: {Accuracy: 0.00, Precision: NaN, Recall: NaN}
Run 2446: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 2447: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2448: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2449: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
----------------308/450----------------

Run 2450: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2451: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2452: {Accuracy: 0.00, Precision: 0.00, Recall: NaN}
Run 2453: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2454: {Accuracy: 0.00, Precision: NaN, Recall: NaN}
Run 2455: {Accuracy: 0.00, Precision: 0.00, Recall: NaN}
Run 2456: {Accuracy: 0.00, Precision: 1.00, Recall: 1.00}
Run 2457: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 2458: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 2459: {Accuracy: 0.00, Precision: 0.00, Recall: NaN}
----------------313/460----------------

Run 2460: {Accuracy: 0.00, Precision: 0.00, Recall: NaN}
Run 2461: {Accuracy: 0.00, Precision: NaN, Recall: NaN}
Run 2462: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2463: {Accuracy: 0.00, Precision: NaN, Recall: NaN}
Run 2464: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 2465: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 2466: {Accuracy: 0.00, Precision: NaN, Recall: NaN}
Run 2467: {Accuracy: 0.00, Precision: NaN, Recall: 0.00}
Run 2468: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2469: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
----------------318/470----------------

Run 2470: {Accuracy: 0.00, Precision: NaN, Recall: NaN}
Run 2471: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2472: {Accuracy: 0.00, Precision: 1.00, Recall: 1.00}
Run 2473: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2474: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 2475: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 2476: {Accuracy: 0.00, Precision: NaN, Recall: NaN}
Run 2477: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2478: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 2479: {Accuracy: 0.00, Precision: 0.00, Recall: NaN}
----------------324/480----------------

Run 2480: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2481: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2482: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 2483: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 2484: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2485: {Accuracy: 0.00, Precision: NaN, Recall: NaN}
Run 2486: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 2487: {Accuracy: 0.00, Precision: NaN, Recall: 0.00}
Run 2488: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2489: {Accuracy: 0.00, Precision: 0.00, Recall: NaN}
----------------331/490----------------

Run 2490: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2491: {Accuracy: 0.00, Precision: NaN, Recall: 0.00}
Run 2492: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2493: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2494: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2495: {Accuracy: 0.00, Precision: 1.00, Recall: 1.00}
Run 2496: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 2497: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2498: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2499: {Accuracy: 0.00, Precision: 0.00, Recall: NaN}
----------------338/500----------------

Run 2500: {Accuracy: 0.00, Precision: NaN, Recall: NaN}
Run 2501: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2502: {Accuracy: 0.00, Precision: 0.00, Recall: NaN}
Run 2503: {Accuracy: 0.00, Precision: 0.00, Recall: NaN}
Run 2504: {Accuracy: 0.00, Precision: NaN, Recall: NaN}
Run 2505: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 2506: {Accuracy: 0.00, Precision: NaN, Recall: 0.00}
Run 2507: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2508: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2509: {Accuracy: 0.00, Precision: NaN, Recall: NaN}
----------------342/510----------------

Run 2510: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2511: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 2512: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 2513: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 2514: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 2515: {Accuracy: 0.00, Precision: NaN, Recall: NaN}
Run 2516: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 2517: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2518: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2519: {Accuracy: 0.00, Precision: 0.00, Recall: NaN}
----------------350/520----------------

Run 2520: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 2521: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2522: {Accuracy: 0.00, Precision: NaN, Recall: NaN}
Run 2523: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2524: {Accuracy: 0.00, Precision: NaN, Recall: 0.00}
Run 2525: {Accuracy: 0.00, Precision: NaN, Recall: 0.00}
Run 2526: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2527: {Accuracy: 0.00, Precision: NaN, Recall: NaN}
Run 2528: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2529: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
----------------356/530----------------

Run 2530: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2531: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2532: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2533: {Accuracy: 0.00, Precision: NaN, Recall: 0.00}
Run 2534: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2535: {Accuracy: 0.00, Precision: 1.00, Recall: 1.00}
Run 2536: {Accuracy: 0.00, Precision: 1.00, Recall: 1.00}
Run 2537: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2538: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2539: {Accuracy: 0.00, Precision: NaN, Recall: NaN}
----------------362/540----------------

Run 2540: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 2541: {Accuracy: 0.00, Precision: 0.00, Recall: NaN}
Run 2542: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2543: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2544: {Accuracy: 0.00, Precision: NaN, Recall: 0.00}
Run 2545: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2546: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2547: {Accuracy: 0.00, Precision: 0.00, Recall: NaN}
Run 2548: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2549: {Accuracy: 0.00, Precision: 1.00, Recall: 1.00}
----------------368/550----------------

Run 2550: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2551: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2552: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2553: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 2554: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2555: {Accuracy: 0.00, Precision: NaN, Recall: 0.00}
Run 2556: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2557: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2558: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2559: {Accuracy: 0.00, Precision: 0.00, Recall: NaN}
----------------376/560----------------

Run 2560: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2561: {Accuracy: 0.00, Precision: NaN, Recall: NaN}
Run 2562: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2563: {Accuracy: 0.00, Precision: 1.00, Recall: 1.00}
Run 2564: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2565: {Accuracy: 0.00, Precision: 0.00, Recall: NaN}
Run 2566: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 2567: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2568: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2569: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
----------------383/570----------------

Run 2570: {Accuracy: 0.00, Precision: 0.00, Recall: NaN}
Run 2571: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2572: {Accuracy: 0.00, Precision: 1.00, Recall: 1.00}
Run 2573: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2574: {Accuracy: 0.00, Precision: 0.00, Recall: NaN}
Run 2575: {Accuracy: 0.00, Precision: 1.00, Recall: 1.00}
Run 2576: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2577: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2578: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2579: {Accuracy: 0.00, Precision: 0.00, Recall: NaN}
----------------388/580----------------

Run 2580: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2581: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2582: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2583: {Accuracy: 0.00, Precision: 0.00, Recall: NaN}
Run 2584: {Accuracy: 0.00, Precision: 0.00, Recall: NaN}
Run 2585: {Accuracy: 0.00, Precision: 1.00, Recall: 1.00}
Run 2586: {Accuracy: 0.00, Precision: NaN, Recall: NaN}
Run 2587: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2588: {Accuracy: 0.00, Precision: NaN, Recall: NaN}
Run 2589: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
----------------393/590----------------

Run 2590: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2591: {Accuracy: 0.00, Precision: NaN, Recall: NaN}
Run 2592: {Accuracy: 0.00, Precision: NaN, Recall: NaN}
Run 2593: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2594: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2595: {Accuracy: 0.00, Precision: 0.00, Recall: NaN}
Run 2596: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2597: {Accuracy: 0.00, Precision: 1.00, Recall: 1.00}
Run 2598: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2599: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
----------------399/600----------------

Run 2600: {Accuracy: 0.00, Precision: NaN, Recall: NaN}
Run 2601: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 2602: {Accuracy: 0.00, Precision: NaN, Recall: NaN}
Run 2603: {Accuracy: 0.00, Precision: NaN, Recall: 0.00}
Run 2604: {Accuracy: 0.00, Precision: 1.00, Recall: 1.00}
Run 2605: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2606: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2607: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 2608: {Accuracy: 0.00, Precision: 0.00, Recall: NaN}
Run 2609: {Accuracy: 0.00, Precision: NaN, Recall: NaN}
----------------403/610----------------

Run 2610: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2611: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2612: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 2613: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2614: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2615: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 2616: {Accuracy: 0.00, Precision: NaN, Recall: NaN}
Run 2617: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 2618: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2619: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
----------------412/620----------------

Run 2620: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2621: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2622: {Accuracy: 0.00, Precision: 0.00, Recall: NaN}
Run 2623: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2624: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2625: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 2626: {Accuracy: 0.00, Precision: NaN, Recall: NaN}
Run 2627: {Accuracy: 0.00, Precision: NaN, Recall: NaN}
Run 2628: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2629: {Accuracy: 0.00, Precision: NaN, Recall: NaN}
----------------418/630----------------

Run 2630: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 2631: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 2632: {Accuracy: 0.00, Precision: 0.00, Recall: NaN}
Run 2633: {Accuracy: 0.00, Precision: NaN, Recall: NaN}
Run 2634: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2635: {Accuracy: 0.00, Precision: 0.00, Recall: NaN}
Run 2636: {Accuracy: 0.00, Precision: 0.00, Recall: NaN}
Run 2637: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 2638: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 2639: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
----------------424/640----------------

Run 2640: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 2641: {Accuracy: 0.00, Precision: 1.00, Recall: 1.00}
Run 2642: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 2643: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2644: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2645: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 2646: {Accuracy: 0.00, Precision: NaN, Recall: NaN}
Run 2647: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 2648: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2649: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
----------------432/650----------------

Run 2650: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2651: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 2652: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2653: {Accuracy: 0.00, Precision: NaN, Recall: 0.00}
Run 2654: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 2655: {Accuracy: 0.00, Precision: NaN, Recall: NaN}
Run 2656: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2657: {Accuracy: 0.00, Precision: NaN, Recall: NaN}
Run 2658: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 2659: {Accuracy: 0.00, Precision: 0.00, Recall: NaN}
----------------438/660----------------

Run 2660: {Accuracy: 0.00, Precision: NaN, Recall: NaN}
Run 2661: {Accuracy: 0.00, Precision: NaN, Recall: NaN}
Run 2662: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2663: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2664: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 2665: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2666: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 2667: {Accuracy: 0.00, Precision: NaN, Recall: NaN}
Run 2668: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2669: {Accuracy: 0.00, Precision: NaN, Recall: NaN}
----------------444/670----------------

Run 2670: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2671: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2672: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 2673: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2674: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2675: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2676: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2677: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 2678: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2679: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
----------------454/680----------------

Run 2680: {Accuracy: 0.00, Precision: NaN, Recall: NaN}
Run 2681: {Accuracy: 0.00, Precision: NaN, Recall: NaN}
Run 2682: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 2683: {Accuracy: 0.00, Precision: NaN, Recall: NaN}
Run 2684: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2685: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2686: {Accuracy: 0.00, Precision: NaN, Recall: 0.00}
Run 2687: {Accuracy: 0.00, Precision: NaN, Recall: 0.00}
Run 2688: {Accuracy: 0.00, Precision: 0.00, Recall: NaN}
Run 2689: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
----------------458/690----------------

Run 2690: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2691: {Accuracy: 0.00, Precision: NaN, Recall: NaN}
Run 2692: {Accuracy: 0.00, Precision: NaN, Recall: NaN}
Run 2693: {Accuracy: 0.00, Precision: NaN, Recall: NaN}
Run 2694: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2695: {Accuracy: 0.00, Precision: NaN, Recall: NaN}
Run 2696: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2697: {Accuracy: 0.00, Precision: 1.00, Recall: 1.00}
Run 2698: {Accuracy: 0.00, Precision: NaN, Recall: NaN}
Run 2699: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
----------------462/700----------------

Run 2700: {Accuracy: 0.00, Precision: NaN, Recall: NaN}
Run 2701: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2702: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2703: {Accuracy: 0.00, Precision: NaN, Recall: NaN}
Run 2704: {Accuracy: 0.00, Precision: NaN, Recall: NaN}
Run 2705: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 2706: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2707: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2708: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2709: {Accuracy: 0.00, Precision: NaN, Recall: NaN}
----------------468/710----------------

Run 2710: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2711: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2712: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 2713: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2714: {Accuracy: 0.00, Precision: NaN, Recall: NaN}
Run 2715: {Accuracy: 0.00, Precision: 0.00, Recall: NaN}
Run 2716: {Accuracy: 0.00, Precision: NaN, Recall: 0.00}
Run 2717: {Accuracy: 0.00, Precision: NaN, Recall: NaN}
Run 2718: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 2719: {Accuracy: 0.00, Precision: 0.00, Recall: NaN}
----------------473/720----------------

Run 2720: {Accuracy: 0.00, Precision: NaN, Recall: 0.00}
Run 2721: {Accuracy: 0.00, Precision: NaN, Recall: 0.00}
Run 2722: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 2723: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2724: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2725: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2726: {Accuracy: 0.00, Precision: 0.00, Recall: NaN}
Run 2727: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2728: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2729: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
----------------480/730----------------

Run 2730: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2731: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2732: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2733: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 2734: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2735: {Accuracy: 0.00, Precision: NaN, Recall: NaN}
Run 2736: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 2737: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2738: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2739: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
----------------489/740----------------

Run 2740: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2741: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 2742: {Accuracy: 0.00, Precision: NaN, Recall: 0.00}
Run 2743: {Accuracy: 0.00, Precision: 0.00, Recall: NaN}
Run 2744: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 2745: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2746: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2747: {Accuracy: 0.00, Precision: NaN, Recall: NaN}
Run 2748: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2749: {Accuracy: 0.00, Precision: 1.00, Recall: 1.00}
----------------495/750----------------

Run 2750: {Accuracy: 0.00, Precision: 1.00, Recall: 1.00}
Run 2751: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2752: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 2753: {Accuracy: 0.00, Precision: 1.00, Recall: 1.00}
Run 2754: {Accuracy: 0.00, Precision: NaN, Recall: 0.00}
Run 2755: {Accuracy: 0.00, Precision: NaN, Recall: NaN}
Run 2756: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 2757: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2758: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 2759: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
----------------501/760----------------

Run 2760: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2761: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2762: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2763: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 2764: {Accuracy: 0.00, Precision: 0.00, Recall: NaN}
Run 2765: {Accuracy: 0.00, Precision: 0.00, Recall: NaN}
Run 2766: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 2767: {Accuracy: 0.00, Precision: 1.00, Recall: 1.00}
Run 2768: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2769: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
----------------508/770----------------

Run 2770: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2771: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2772: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2773: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 2774: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2775: {Accuracy: 0.00, Precision: NaN, Recall: 0.00}
Run 2776: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2777: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2778: {Accuracy: 0.00, Precision: NaN, Recall: NaN}
Run 2779: {Accuracy: 0.00, Precision: 0.00, Recall: NaN}
----------------515/780----------------

Run 2780: {Accuracy: 0.00, Precision: NaN, Recall: NaN}
Run 2781: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 2782: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 2783: {Accuracy: 0.00, Precision: NaN, Recall: 0.00}
Run 2784: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 2785: {Accuracy: 0.00, Precision: NaN, Recall: NaN}
Run 2786: {Accuracy: 0.00, Precision: 0.00, Recall: NaN}
