Run 89: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
----------------77/90----------------

Run 90: {Accuracy: 0.00, Precision: 1.00, Recall: 1.00}
Run 91: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 92: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 93: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 94: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 95: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 96: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 97: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 98: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 99: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
----------------86/100----------------

Run 100: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 101: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 102: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 103: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 104: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 105: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 106: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 107: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 108: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 109: {Accuracy: 0.00, Precision: 0.00, Recall: NaN}
----------------95/110----------------

Run 110: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 111: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 112: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 113: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 114: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 115: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 116: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 117: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 118: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 119: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
----------------105/120----------------

Run 120: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 121: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 122: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 123: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 124: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 125: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 126: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 127: {Accuracy: 0.00, Precision: NaN, Recall: 0.00}
Run 128: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 129: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
----------------114/130----------------

Run 130: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 131: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 132: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 133: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 134: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 135: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 136: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 137: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 138: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 139: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
----------------124/140----------------

Run 140: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 141: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 142: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 143: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 144: {Accuracy: 0.00, Precision: NaN, Recall: NaN}
Run 145: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 146: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 147: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 148: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 149: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
----------------133/150----------------

Run 150: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 151: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 152: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 153: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 154: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 155: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 156: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 157: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 158: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 159: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
----------------143/160----------------

Run 160: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 161: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 162: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 163: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 164: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 165: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 166: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 167: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 168: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 169: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
----------------153/170----------------

Run 170: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 171: {Accuracy: 0.00, Precision: NaN, Recall: 0.00}
Run 172: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 173: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 174: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 175: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 176: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 177: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 178: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
